# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             206   N   00000326   00f82023   00000328   ---        --------
             208   N   00000328   00000885   0000032c   ---        --------
             209   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d10
             210   N   0000032e   08851717   00000322   ---        --------
             215   N   00000322   0000c791   00000326   x15_a5     00000067
             216   N   00000326   00f82023   00000328   ---        --------
             218   N   00000328   00000885   0000032c   ---        --------
             219   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d11
             220   N   0000032e   08851717   00000322   ---        --------
             225   N   00000322   0000c791   00000326   x15_a5     00000061
             226   N   00000326   00f82023   00000328   ---        --------
             228   N   00000328   00000885   0000032c   ---        --------
             229   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d12
             230   N   0000032e   08851717   00000322   ---        --------
             235   N   00000322   0000c791   00000326   x15_a5     0000006c
             236   N   00000326   00f82023   00000328   ---        --------
             238   N   00000328   00000885   0000032c   ---        --------
             239   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d13
             240   N   0000032e   08851717   00000322   ---        --------
             245   N   00000322   0000c791   00000326   x15_a5     00000000
             246   N   00000326   00f82023   00000332   ---        --------
             250   N   00000332   20230713   00000336   x14_a4     00001332
             252   N   00000336   0000c311   0000033a   x14_a4     00000f00
             253   N   0000033a   00008702   0000033c   ---        --------
             254   N   0000033c   34202773   00000f00   ---        --------
             257   N   00000f00   e69ff06f   00000f40   ---        --------
             260   N   00000f40   342022f3   00000f44   x06_t1     00000002
             261   N   00000f44   ec6294e3   00000f48   x05_t0     00000002
             262   N   00000f48   341022f3   00000f4c   ---        --------
             263   N   00000f4c   343023f3   00000f50   x05_t0     00000d18
             264   N   00000f50   00038e63   00000f54   x07_t2     00000000
             265   N   00000f54   0002d303   00000f70   ---        --------
             268   N   00000f70   da830313   00000f74   x06_t1     00000f70
             269   N   00000f74   04628e63   00000f78   x06_t1     00000d18
             270   N   00000f78   00000317   00000fd4   ---        --------
             273   N   00000fd4   34129073   00000fd8   x05_t0     00000d20
             274   N   00000fd8   30200073   00000fdc   ---        --------
             276   N   00000fdc   00200337   00000d20   ---        --------
             279   N   00000d20   80028293   00000d24   x05_t0     00002000
             280   N   00000d24   3002b073   00000d28   x05_t0     00001800
             281   N   00000d28   00001337   00000d2c   ---        --------
             282   N   00000d2c   00001337   00000d2c   ---        --------
             283   N   00000d2c   80030313   00000d30   x06_t1     00001000
             284   N   00000d30   30032073   00000d34   x06_t1     00000800
             285   N   00000d34   300023f3   00000d38   ---        --------
             286   N   00000d38   300023f3   00000d38   ---        --------
             287   N   00000d38   0053f3b3   00000d3c   x07_t2     00001880
             288   N   00000d3c   0e731063   00000d40   x07_t2     00001800
             289   N   00000d40   34415073   00000e20   ---        --------
             292   N   00000e20   000e0593   00000e24   ---        --------
             293   N   00000e24   00000513   00000e28   x11_a1     00000002
             294   N   00000e28   00000073   00000e2c   x10_a0     00000000
             295   E   00000e2c   00000013   00000300   mstatus    00001800
             295   E   00000e2c   00000013   00000300   mepc       00000e2c
             295   E   00000e2c   00000013   00000300   mcause     0000000b
             295   E   00000e2c   00000013   00000300   mtval      00000000
             298   N   00000300   000047a1   00000304   x14_a4     0000000b
             299   N   00000304   04f70263   00000306   x15_a5     00000008
             300   N   00000306   000047a5   0000030a   ---        --------
             301   N   0000030a   02f70f63   0000030c   x15_a5     00000009
             302   N   0000030c   000047ad   00000310   ---        --------
             303   N   00000310   02f70c63   00000312   x15_a5     0000000b
             304   N   00000312   47ad0837   0000034a   ---        --------
             308   N   0000034a   08370013   000010e0   ---        --------
             311   N   000010e0   01428293   000010e4   x05_t0     000000e0
             312   N   000010e4   00008282   000010e8   x05_t0     000000f4
             313   N   000010e8   00000013   000000f4   ---        --------
             316   N   000000f4   0000006f   000000f8   ---        --------
             317   N   000000f8   ffffffff   000000f8   ---        --------
